field,2013/03/01,2013/03/02,2013/03/03,2013/03/04,2013/03/05,2013/03/06,2013/03/07,2013/03/08,2013/03/09,2013/03/10,2013/03/11,2013/03/12,2013/03/13,2013/03/14,2013/03/15,2013/03/16,2013/03/17,2013/03/18,2013/03/19,2013/03/20,2013/03/21,2013/03/22,2013/03/23,2013/03/24,2013/03/25,2013/03/26,2013/03/27,2013/03/28,2013/03/29,2013/03/30,2013/03/31
Température maximale,7°,4°,6°,7°,10°,7°,8°,9°,18°,17°,16°,14°,12°,7°,14°,7°,6°,6°,13°,12°,5°,9°,12°,9°,4°,7°,10°,10°,13°,15°,14°
Température minimale,0°,0°,-1°,-2°,-1°,1°,-1°,1°,0°,2°,6°,11°,4°,-1°,1°,4°,3°,2°,4°,1°,1°,-1°,0°,1°,3°,0°,2°,2°,2°,4°,5°
Vitesse du vent,22km/h,19km/h,30km/h,31km/h,10km/h,39km/h,30km/h,35km/h,17km/h,17km/h,21km/h,22km/h,31km/h,30km/h,26km/h,11km/h,18km/h,18km/h,31km/h,26km/h,33km/h,28km/h,22km/h,17km/h,22km/h,28km/h,33km/h,31km/h,22km/h,13km/h,25km/h
Température du vent,-5°,-5°,-8°,-10°,-6°,-6°,-6°,-5°,-5°,0°,1°,8°,1°,-7°,-4°,1°,-1°,-3°,1°,-2°,-7°,-7°,-4°,-1°,-3°,-4°,-4°,-4°,-2°,4°,2°
Précipitations,0mm,,,,0mm,47mm,0mm,,,0mm,1mm,5mm,1mm,0mm,0mm,1mm,5mm,15mm,3mm,0mm,,,0mm,1mm,17mm,0mm,,,,0mm,1mm
Humidité,96%,89%,82%,71%,89%,99%,85%,73%,85%,99%,99%,95%,96%,60%,81%,86%,92%,96%,94%,77%,69%,66%,81%,87%,98%,95%,88%,86%,89%,81%,85%
Visibilité,10km,10km,10km,10km,10km,2km,10km,10km,10km,6.5km,8.375km,7.25km,7.75km,10km,9km,8.875km,8km,5.125km,8.5km,10km,10km,10km,10km,8.75km,3.75km,10km,10km,10km,8.75km,10km,8.875km
Couverture nuageuse,40%,39%,42%,7%,34%,100%,20%,41%,4%,32%,60%,65%,17%,4%,37%,72%,65%,99%,39%,17%,35%,13%,6%,35%,92%,54%,30%,30%,19%,48%,26%
Indice de chaleur,6,3,5,4,9,1,8,9,17,16,16,14,9,5,13,10,5,4,13,10,2,6,10,6,3,8,7,7,14,15,13
Point de rosée,1°C,0°C,,,0°C,1°C,0°C,0°C,3°C,10°C,8°C,7°C,0°C,0°C,2°C,2°C,0°C,3°C,3°C,0°C,,,,0°C,1°C,0°C,,,,,0°C
Pression,1012hPa,1013hPa,1014hPa,1018hPa,1019hPa,1011hPa,1020hPa,1025hPa,1028hPa,1026hPa,1024hPa,1016hPa,1019hPa,1021hPa,1021hPa,1011hPa,1025hPa,1025hPa,1015hPa,1017hPa,1013hPa,1016hPa,1017hPa,1017hPa,1006hPa,1017hPa,1020hPa,1024hPa,1025hPa,1024hPa,1022hPa
Heure du lever du soleil,06:40:00,06:39:00,06:37:00,06:36:00,06:34:00,06:33:00,06:31:00,06:30:00,06:28:00,06:27:00,06:25:00,06:24:00,06:22:00,06:20:00,06:19:00,06:17:00,06:16:00,06:14:00,06:13:00,06:11:00,06:10:00,06:08:00,06:06:00,06:05:00,06:03:00,06:02:00,06:00:00,05:59:00,05:57:00,05:56:00,05:54:00
Heure du coucher du soleil,18:01:00,18:02:00,18:03:00,18:04:00,18:05:00,18:06:00,18:07:00,18:08:00,18:09:00,18:10:00,18:11:00,18:12:00,18:13:00,18:14:00,18:15:00,18:16:00,18:17:00,18:18:00,18:19:00,18:20:00,18:21:00,18:22:00,18:23:00,18:24:00,18:25:00,18:26:00,18:27:00,18:28:00,18:29:00,18:30:00,18:31:00
Durée du jour,11:21:0,11:23:0,11:26:0,11:28:0,11:31:0,11:33:0,11:36:0,11:38:0,11:41:0,11:43:0,11:46:0,11:48:0,11:51:0,11:54:0,11:56:0,11:59:0,12:1:0,12:4:0,12:6:0,12:9:0,12:11:0,12:14:0,12:17:0,12:19:0,12:22:0,12:24:0,12:27:0,12:29:0,12:32:0,12:34:0,12:37:0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
