field,2014/01/01,2014/01/02,2014/01/03,2014/01/04,2014/01/05,2014/01/06,2014/01/07,2014/01/08,2014/01/09,2014/01/10,2014/01/11,2014/01/12,2014/01/13,2014/01/14,2014/01/15,2014/01/16,2014/01/17,2014/01/18,2014/01/19,2014/01/20,2014/01/21,2014/01/22,2014/01/23,2014/01/24,2014/01/25,2014/01/26,2014/01/27,2014/01/28,2014/01/29,2014/01/30,2014/01/31
Température maximale,7°,6°,0°,0°,5°,10°,0°,0°,4°,3°,17°,10°,11°,9°,11°,8°,8°,3°,7°,8°,0°,,,,,0°,4°,0°,0°,1°,6°
Vitesse du vent,12km/h,7km/h,37km/h,20km/h,6km/h,27km/h,27km/h,9km/h,11km/h,5km/h,29km/h,23km/h,27km/h,15km/h,10km/h,13km/h,13km/h,30km/h,21km/h,22km/h,29km/h,30km/h,25km/h,21km/h,32km/h,19km/h,35km/h,24km/h,21km/h,15km/h,9km/h
Température du vent,-2°,0°,-20°,-13°,-3°,-7°,-26°,-11°,-5°,0°,8°,-3°,-3°,1°,0°,-3°,-5°,-13°,-6°,-5°,-15°,-27°,-19°,-22°,-17°,-16°,-12°,-21°,-18°,-9°,-12°
Précipitations,0mm,3mm,3mm,0mm,10mm,4mm,0mm,,0mm,8mm,20mm,0mm,0mm,7mm,0mm,1mm,0mm,1mm,0mm,0mm,14mm,1mm,1mm,0mm,1mm,0mm,0mm,1mm,1mm,0mm,
Humidité,51%,90%,84%,88%,95%,96%,50%,38%,56%,97%,99%,84%,93%,95%,95%,82%,84%,58%,64%,77%,94%,87%,86%,80%,70%,86%,93%,54%,60%,67%,91%
Visibilité,10km,9.25km,8.375km,10km,6.75km,8.5km,10km,10km,10km,7.25km,6km,10km,10km,7.375km,9km,10km,10km,10km,10km,10km,5.375km,10km,10km,10km,10km,10km,10km,10km,10km,10km,10km
Couverture nuageuse,35%,57%,34%,2%,85%,48%,4%,24%,29%,91%,86%,6%,21%,59%,28%,30%,29%,20%,27%,14%,88%,17%,37%,13%,50%,33%,33%,68%,19%,3%,23%
Indice de chaleur,7,6,0,0,5,10,0,0,4,3,17,10,11,9,11,8,8,3,7,8,0,,,,,0,4,0,0,1,6
Point de rosée,0°C,2°C,0°C,0°C,5°C,9°C,0°C,,0°C,2°C,17°C,4°C,6°C,8°C,5°C,0°C,2°C,2°C,0°C,2°C,0°C,,,,,0°C,2°C,0°C,,0°C,3°C
Pression,1030hPa,1021hPa,1032hPa,1033hPa,1026hPa,1018hPa,1031hPa,1036hPa,1037hPa,1033hPa,1019hPa,1021hPa,1021hPa,1012hPa,1016hPa,1016hPa,1015hPa,1016hPa,1015hPa,1013hPa,1015hPa,1020hPa,1028hPa,1034hPa,1020hPa,1015hPa,1023hPa,1031hPa,1029hPa,1032hPa,1025hPa
Heure du lever du soleil,07:27:00,07:27:00,07:27:00,07:27:00,07:27:00,07:27:00,07:27:00,07:27:00,07:27:00,07:27:00,07:27:00,07:26:00,07:26:00,07:26:00,07:26:00,07:25:00,07:25:00,07:24:00,07:24:00,07:23:00,07:23:00,07:22:00,07:22:00,07:21:00,07:20:00,07:19:00,07:19:00,07:18:00,07:17:00,07:16:00,07:15:00
Heure du coucher du soleil,16:57:00,16:58:00,16:59:00,16:59:00,17:00:00,17:01:00,17:02:00,17:03:00,17:04:00,17:05:00,17:06:00,17:07:00,17:08:00,17:09:00,17:10:00,17:12:00,17:13:00,17:14:00,17:15:00,17:16:00,17:17:00,17:18:00,17:19:00,17:21:00,17:22:00,17:23:00,17:24:00,17:25:00,17:26:00,17:27:00,17:29:00
Durée du jour,9:30:0,9:31:0,9:32:0,9:32:0,9:33:0,9:34:0,9:35:0,9:36:0,9:37:0,9:38:0,9:39:0,9:41:0,9:42:0,9:43:0,9:44:0,9:47:0,9:48:0,9:50:0,9:51:0,9:53:0,9:54:0,9:56:0,9:57:0,10:0:0,10:2:0,10:4:0,10:5:0,10:7:0,10:9:0,10:11:0,10:14:0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
